   80.000000000000000             (-2.47912801398797437E-015,0.0000000000000000)
   80.000000000000000      (-4.36095604072761502E-015,-4.47666209657526773E-015)
   80.000000000000000       (-9.32087740324050155E-015,8.00918359411539806E-015)
   80.000000000000000      (-5.78981307342019120E-015,-7.43939632119605752E-015)
   80.000000000000000       (-1.36340938539092357E-014,9.20444276353293844E-015)
   80.000000000000000       (-3.30180327523521538E-015,1.36106403925140285E-014)
   80.000000000000000        (3.49054118942149231E-015,6.29357677084385614E-015)
   80.000000000000000       (1.12909681604378419E-015,-2.15244488899202221E-016)
   80.000000000000000              (2.46247466861859718E-015,3.9999999999999982)
   80.000000000000000        (2.77000644643976569E-016,2.75279798955807583E-015)
   80.000000000000000       (-4.91939822211406888E-015,4.47308856621475561E-015)
   80.000000000000000        (6.05793193386716641E-015,6.25444140922581947E-015)
   80.000000000000000       (4.60742555219440004E-016,-6.98552327094148514E-015)
   80.000000000000000      (-4.04343225568482031E-015,-1.01085806392120508E-015)
   80.000000000000000      (-7.41684491600835903E-015,-2.02060590481778497E-016)
   80.000000000000000       (5.13478148889134900E-016,-1.96231919602496426E-015)
   80.000000000000000       (-1.39610545346613427E-015,8.34443625308267618E-015)
   80.000000000000000       (-2.96596081028610568E-015,4.21440660147709432E-015)
   80.000000000000000        (1.50823797895327525E-015,1.28175248192974322E-015)
   80.000000000000000      (-1.11943787572954532E-014,-8.42936831446650131E-016)
   80.000000000000000       (-6.87450096847896949E-015,9.39803790345195075E-015)
   80.000000000000000        (3.38618022510672725E-016,1.54615209524422410E-014)
   80.000000000000000        (1.34586786160184595E-014,1.11052833595692850E-014)
   80.000000000000000        (1.14441789378361134E-014,1.80466752652819185E-015)
   80.000000000000000       (3.66096042370145385E-015,-9.48685574542196256E-016)
   80.000000000000000       (5.30075983107280962E-015,-5.09758901756640616E-015)
   80.000000000000000        (2.40363284831346395E-016,1.56208379564759528E-015)
   80.000000000000000       (-2.88657986402540710E-017,4.83002526863174381E-015)
   80.000000000000000        (7.86037901434610839E-016,1.02085007114283147E-015)
   80.000000000000000       (-7.09876601945325067E-015,4.40036895810180773E-015)
   80.000000000000000        (9.10577169221937747E-015,7.81597009336110208E-016)
   80.000000000000000      (-3.64291929955129490E-015,-4.24826840372816157E-015)
   80.000000000000000       (-2.73503442116407331E-015,6.03961325396085201E-016)
   80.000000000000000       (-4.69430050387131802E-015,3.23685522829464402E-015)
   80.000000000000000        (4.17693657439599545E-015,1.56957780106381506E-014)
   80.000000000000000       (2.40085729075190112E-016,-7.71827046719408783E-015)
   80.000000000000000      (-6.39488462184090144E-016,-1.73916436807530763E-015)
   80.000000000000000        (6.69631017302663142E-015,4.38260538970780560E-015)
   80.000000000000000      (-9.60065360544604213E-016,-1.54487533876590523E-015)
   80.000000000000000      (-2.21767049168875025E-016,-4.69069227904128638E-015)
   80.000000000000000              (2.0000000000000009,2.69562150378988021E-015)
   80.000000000000000       (5.69086444635047419E-015,-6.50757225884035528E-015)
   80.000000000000000       (5.93552984540224359E-016,-4.59188242984964739E-015)
   80.000000000000000        (7.34828864423775525E-016,3.42004202735779469E-015)
   80.000000000000000        (2.43652320541798408E-015,9.38749078471801188E-015)
   80.000000000000000       (6.10372863363295428E-015,-7.56783524735738025E-015)
